Date,SubArea,Area,Value,Number
17/01/17,Udupi Swada,Devanahalli,5,1
18/01/17,Udupi Swada,Devanahalli,5,1
19/01/17,Devanahalli Circle,Devanahalli,2,1
21/01/17,Devanahalli Circle,Devanahalli,1,1
25/01/17,"Railway Gate, Devanahalli",Devanahalli,1,1
26/01/17,Devanahalli Circle,Devanahalli,2,1
02/02/17,Devanahalli Circle,Devanahalli,5,1
10/02/17,Devanahalli Circle,Devanahalli,1,3
10/02/17,Devanahalli Circle,Devanahalli,1,3
14/02/17,"Railway Gate, Devanahalli",Devanahalli,2,3
26/02/17,Richmond Circle,Richmond Circle,2,1
17/03/17,Devanahalli Food Karts,Devanahalli,1,1
18/03/17,Udupi Swada,Devanahalli,1,2
18/03/17,Udupi Swada,Devanahalli,1,2
21/03/17,Udupi Swada,Devanahalli,2,1
25/03/17,Venkatagiri Kota Flyover,Venkatagirikota,2,1
28/03/17,Devanahalli Circle,Devanahalli,5,2
28/03/17,devanahalli Circle,Devanahalli,5,2
01/04/17,Devanahalli Circle,Devanahalli,1,1
10/04/17,Devanahalli Circle,Devanahalli,10,1
20/04/17,Nandi Hills,Nandi Village,1,1
22/04/17,Nandi Turnoff,Devanahalli,2,1
30/04/17,"Railway Bridge, Devanhalli",Devanahalli,2,1
02/05/17,"Railway Bridge, Devanhalli",Devanahalli,5,1
19/05/17,"Railway Bridge, Devanhalli",Devanahalli,1,1
28/05/17,Jakkur Flyover,Hebbal,10,4
28/05/17,Jakkur Flyover,Hebbal,2,4
28/05/17,Jakkur Flyover,Hebbal,1,4
28/05/17,Mekhri Circle,Mekhri Circle,0.5,4
30/05/17,"Railway Bridge, Devanhalli",Devanahalli,1,1
31/05/17,"Railway Bridge, Devanhalli",Devanahalli,1,1
13/08/17,Rajarammohan Roy Statue,Sampangirama Nagar,1,1
17/08/17,sultanpet,Nandi Village,2,4
17/08/17,sultanpet,Nandi Village,1,4
17/08/17,sultanpet,Nandi Village,1,4
17/08/17,Sultanpet,Nandi Village,1,4
03/09/17,BegurKoppa Main Road,Begur,2,1
07/09/17,Koramangala,Koramangala,5,1
15/10/17,M.G Road,M.G Road,5,1
27/10/17,Vasanth Nagar,Vasanath Nagar,0.5,1
15/11/17,Nandi Hills,Nandi Village,2,1
03/12/17,BTM house,BTM,2,1
10/12/17,Bhanneraghatta Anekal Road,Bhanneraghatta,1,1
14/12/17,Nandi Turnoff,Devanahalli,1,1
15/12/17,Nandi Turnoff,Devanahalli,2,1
24/12/17,BTM,BTM,1,4
24/12/17,Jayadeva Flyover,BTM,1,4
24/12/17,Jayadeva Flyover,BTM,1,4
24/12/17,M.G Road,M.G Road,2,4
28/12/17,Nandi Turnoff,Devanahalli,1,3
28/12/17,Nandi Turnoff,Devanahalli,1,3
28/12/17,Sonnenahalli,Karahalli,1,3
